City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,howard springs,-12.497,131.047,30.49,64,32,1.88,AU,1726368124
161,igarka,67.4667,86.5833,3.57,61,48,3.71,RU,1726368125
162,benghazi,32.1167,20.0667,25.0,64,31,8.37,LY,1726368126
163,faya-largeau,17.9257,19.1043,32.4,12,55,5.94,TD,1726368127
164,uturoa,-16.7333,-151.4333,26.62,75,0,3.98,PF,1726368129
165,tura,25.5198,90.2201,22.95,97,100,2.06,IN,1726368130
166,lebanon,36.2081,-86.2911,22.49,95,100,1.54,US,1726368131
167,iquitos,-3.7481,-73.2472,26.02,78,20,2.57,PE,1726368132
168,naze,28.3667,129.4833,27.51,88,100,6.81,JP,1726368134
169,coquimbo,-29.9533,-71.3436,11.85,93,40,2.57,CL,1726367973
170,varena,54.2167,24.5667,15.2,56,81,3.05,LT,1726368137
171,tequila,20.8833,-103.8333,20.61,92,22,2.06,MX,1726368138
172,nemuro,43.3236,145.575,16.56,90,100,6.77,JP,1726368139
173,lebu,-37.6167,-73.65,9.21,78,100,6.85,CL,1726368140
174,evinayong,1.4368,10.5512,19.92,99,99,0.82,GQ,1726368141
175,whakatane,-37.9585,176.9854,14.11,92,80,1.67,NZ,1726368142
176,khandud,36.9513,72.318,7.55,73,100,1.71,AF,1726368144
177,luderitz,-26.6481,15.1594,11.12,74,0,6.75,NA,1726368146
178,valparaiso,-33.0393,-71.6273,11.8,82,0,2.57,CL,1726368147
179,new norfolk,-42.7826,147.0587,12.06,54,81,4.54,AU,1726368151
180,lerwick,60.1545,-1.1494,12.62,88,100,12.22,GB,1726368152
181,inari,68.906,27.0288,6.58,68,100,0.66,FI,1726368153
182,cafayate,-26.073,-65.9761,9.56,82,100,2.32,AR,1726368154
183,fort bragg,35.139,-79.006,22.91,83,40,5.14,US,1726368155
184,mesyagutovo,55.5303,58.2528,12.07,88,0,1.73,RU,1726368157
185,nanning,22.8167,108.3167,28.25,64,99,1.57,CN,1726368158
186,callao,-12.0667,-77.15,18.18,82,100,3.09,PE,1726368159
187,borda da mata,-22.2742,-46.1653,21.37,43,83,0.37,BR,1726368160
188,abepura,-2.6333,140.5833,32.45,62,20,2.57,ID,1726368161
189,manokwari,-0.8667,134.0833,28.64,68,20,2.43,ID,1726368162
190,ashland,40.8167,-82.2665,22.3,84,0,3.69,US,1726368164
191,ometepec,16.6833,-98.4167,23.85,92,100,0.14,MX,1726368165
192,merowe,18.4833,31.8167,33.66,18,100,4.56,SD,1726368166
193,tralee,52.2704,-9.7026,14.33,99,100,0.49,IE,1726368167
194,adel,31.1371,-83.4235,24.94,93,35,0.45,US,1726368168
195,honiara,-9.4333,159.95,28.77,76,31,2.0,SB,1726368169
196,beyneu,45.3167,55.2,17.66,41,0,5.33,KZ,1726368170
197,mazagao,-0.115,-51.2894,25.31,83,27,2.6,BR,1726368171
198,whitehorse,60.7161,-135.0538,11.01,62,75,1.34,CA,1726368173
199,banyuls de la marenda,42.4837,3.129,14.6,49,0,6.44,FR,1726368174
200,yanchep,-31.55,115.6833,19.73,48,0,6.14,AU,1726368175
201,arraial do cabo,-22.9661,-42.0278,22.05,91,35,2.2,BR,1726368176
202,verkhnevilyuysk,63.4453,120.3167,5.8,53,9,1.64,RU,1726368177
203,weno,7.4515,151.8468,25.97,89,100,0.0,FM,1726368178
204,keflavik,64.0049,-22.5624,5.24,87,0,5.66,IS,1726368179
205,ola,59.5833,151.2833,8.24,74,98,1.95,RU,1726368180
206,san patricio,28.017,-97.5169,28.97,76,91,4.82,US,1726368182
207,fisterra,42.9049,-9.2629,17.07,67,5,2.02,ES,1726368183
208,olyokminsk,60.3736,120.4264,6.0,58,100,3.31,RU,1726368184
209,kokkola,63.8385,23.1307,10.58,98,0,1.03,FI,1726368185
210,afaahiti,-17.75,-149.2833,24.27,86,33,4.92,PF,1726368186
211,isangel,-19.55,169.2667,26.06,83,75,5.66,VU,1726368187
212,andalgala,-27.5819,-66.3165,13.71,54,23,2.87,AR,1726368188
213,northam,51.0333,-4.2167,11.45,95,76,3.73,GB,1726368189
214,sinabang,2.4803,96.3801,29.24,66,50,0.4,ID,1726368190
215,atafu village,-8.5421,-172.5159,28.58,74,58,5.77,TK,1726368192
216,nampula,-15.1165,39.2666,19.97,94,0,4.12,MZ,1726368193
217,porto-vecchio,41.591,9.2795,16.81,72,0,8.23,FR,1726368194
218,hithadhoo,-0.6,73.0833,28.45,75,14,4.0,MV,1726368195
219,constitucion,-35.3333,-72.4167,10.37,78,64,3.37,CL,1726368196
220,kerikeri,-35.2268,173.9474,18.84,58,0,5.36,NZ,1726368197
221,badger,64.8,-147.5333,15.14,65,75,2.57,US,1726368198
222,lagos,6.5833,3.75,23.53,96,100,1.23,NG,1726368200
223,raja,8.4596,25.678,20.56,95,51,1.1,SS,1726368201
224,puerto el triunfo,13.2833,-88.55,27.09,86,82,1.96,SV,1726368202
225,mili,6.0815,171.735,26.98,82,100,2.79,MH,1726368203
226,kavieng,-2.5744,150.7967,28.53,73,89,2.08,PG,1726368204
227,wanxian,30.8039,108.3897,33.63,50,1,2.61,CN,1726368205
228,joshimath,30.5667,79.5667,19.04,66,12,1.23,IN,1726368206
229,eastham,41.8301,-69.9739,18.3,94,0,4.36,US,1726368207
230,zhelezinka,53.54,75.3072,13.6,85,95,4.07,KZ,1726368209
231,ambon,-3.6954,128.1814,28.08,78,40,3.09,ID,1726368210
232,nar'yan-mar,67.6713,53.087,16.05,78,96,3.88,RU,1726368211
233,okha,53.5739,142.9478,12.39,54,5,7.21,RU,1726368212
234,carutapera,-1.195,-46.02,25.68,81,48,4.75,BR,1726368213
235,queenstown,-31.8976,26.8753,11.51,82,32,0.86,ZA,1726368214
236,raduzhny,62.0961,77.475,5.68,62,0,4.59,RU,1726368216
237,colonia,50.9333,6.95,7.36,88,75,0.51,DE,1726368218
238,kerouane,9.2667,-9.0167,21.04,99,100,0.4,GN,1726368220
239,akureyri,65.6835,-18.0878,3.96,87,100,3.6,IS,1726368221
240,yagoua,10.3411,15.2329,24.19,88,100,1.48,CM,1726368222
